time;Arbeitslose   ;AbgangArbeitslose  ;Arbeitslosenquote  
Apr 25;2.922.000;574.000;6,3
Mrz 25;2.918.000;558.000;6,2
Feb 25;2.894.000;576.000;6,2
Jan 25;2.885.000;593.000;6,2
Dez 24;2.872.000;571.000;6,1
Nov 24;2.860.000;559.000;6,1
Okt 24;2.852.000;563.000;6,1
Sep 24;2.825.000;564.000;6
Aug 24;2.807.000;547.000;6
Jul 24;2.803.000;560.000;6
Jun 24;2.784.000;555.000;6
Mai 24;2.764.000;553.000;5,9
Apr 24;2.738.000;565.000;5,9
Mrz 24;2.723.000;572.000;5,9
Feb 24;2.721.000;532.000;5,9
Jan 24;2.703.000;551.000;5,9
Dez 23;2.698.000;543.000;5,8
Nov 23;2.690.000;541.000;5,8
Okt 23;2.668.000;529.000;5,8
Sep 23;2.645.000;528.000;5,7
Aug 23;2.636.000;523.000;5,7
Jul 23;2.613.000;531.000;5,7
Jun 23;2.610.000;525.000;5,7
Mai 23;2.582.000;542.000;5,6
Apr 23;2.573.000;517.000;5,6
Mrz 23;2.547.000;521.000;5,6
Feb 23;2.527.000;534.000;5,5
Jan 23;2.517.000;510.000;5,5
Dez 22;2.514.000;522.000;5,5
Nov 22;2.519.000;528.000;5,5
Okt 22;2.503.000;526.000;5,5
Sep 22;2.504.000;523.000;5,5
Aug 22;2.492.000;515.000;5,5
Jul 22;2.468.000;506.000;5,4
Jun 22;2.417.000;506.000;5,3
Mai 22;2.295.000;482.000;5
Apr 22;2.296.000;480.000;5
Mrz 22;2.314.000;486.000;5
Feb 22;2.332.000;493.000;5,1
Jan 22;2.360.000;479.000;5,1
Dez 21;2.389.000;506.000;5,2
Nov 21;2.404.000;512.000;5,2
Okt 21;2.443.000;530.000;5,3
Sep 21;2.487.000;530.000;5,4
Aug 21;2.525.000;545.000;5,5
Jul 21;2.590.000;545.000;5,6
Jun 21;2.678.000;539.000;5,8
Mai 21;2.732.000;496.000;6
Apr 21;2.757.000;505.000;6
Mrz 21;2.762.000;489.000;6
Feb 21;2.776.000;451.000;6,1
Jan 21;2.764.000;509.000;6
Dez 20;2.781.000;514.000;6,1
Nov 20;2.808.000;554.000;6,1
Okt 20;2.844.000;561.000;6,2
Sep 20;2.880.000;528.000;6,3
Aug 20;2.898.000;505.000;6,3
Jul 20;2.912.000;464.000;6,4
Jun 20;2.928.000;422.000;6,4
Mai 20;2.864.000;300.000;6,2
Apr 20;2.631.000;324.000;5,8
Mrz 20;2.276.000;594.000;5
Feb 20;2.280.000;603.000;5
Jan 20;2.296.000;625.000;5
Dez 19;2.287.000;596.000;5
Nov 19;2.271.000;590.000;5
Okt 19;2.279.000;599.000;5
Sep 19;2.266.000;596.000;5
Aug 19;2.280.000;605.000;5
Jul 19;2.280.000;601.000;5
Jun 19;2.277.000;610.000;5
Mai 19;2.278.000;603.000;5
Apr 19;2.219.000;615.000;4,9
Mrz 19;2.238.000;603.000;5
Feb 19;2.248.000;602.000;5
Jan 19;2.267.000;619.000;5
Dez 18;2.266.000;611.000;5
Nov 18;2.279.000;612.000;5
Okt 18;2.285.000;605.000;5,1
Sep 18;2.296.000;617.000;5,1
Aug 18;2.318.000;613.000;5,1
Jul 18;2.332.000;609.000;5,2
Jun 18;2.341.000;608.000;5,2
Mai 18;2.360.000;617.000;5,2
Apr 18;2.373.000;622.000;5,3
Mrz 18;2.384.000;630.000;5,3
Feb 18;2.404.000;628.000;5,4
Jan 18;2.417.000;605.000;5,4
Dez 17;2.442.000;644.000;5,5
Nov 17;2.470.000;638.000;5,5
Okt 17;2.483.000;636.000;5,6
Sep 17;2.498.000;637.000;5,6
Aug 17;2.516.000;651.000;5,6
Jul 17;2.530.000;641.000;5,7
Jun 17;2.546.000;629.000;5,7
Mai 17;2.544.000;665.000;5,7
Apr 17;2.555.000;643.000;5,8
Mrz 17;2.573.000;660.000;5,8
Feb 17;2.599.000;666.000;5,9
Jan 17;2.608.000;634.000;5,9
Dez 16;2.630.000;640.000;6
Nov 16;2.643.000;655.000;6
Okt 16;2.647.000;648.000;6
Sep 16;2.666.000;647.000;6
Aug 16;2.663.000;638.000;6
Jul 16;2.679.000;664.000;6,1
Jun 16;2.693.000;672.000;6,1
Mai 16;2.709.000;640.000;6,1
Apr 16;2.723.000;639.000;6,2
Mrz 16;2.738.000;631.000;6,2
Feb 16;2.731.000;633.000;6,2
Jan 16;2.738.000;634.000;6,2
Dez 15;2.747.000;631.000;6,3
Nov 15;2.754.000;625.000;6,3
Okt 15;2.770.000;622.000;6,3
Sep 15;2.778.000;626.000;6,3
Aug 15;2.782.000;629.000;6,3
Jul 15;2.796.000;608.000;6,4
Jun 15;2.793.000;641.000;6,4
Mai 15;2.802.000;632.000;6,4
Apr 15;2.811.000;651.000;6,5
Mrz 15;2.811.000;650.000;6,5
Feb 15;2.823.000;658.000;6,5
Jan 15;2.837.000;659.000;6,5
Dez 14;2.834.000;650.000;6,5
Nov 14;2.851.000;661.000;6,6
Okt 14;2.866.000;669.000;6,6
Sep 14;2.891.000;632.000;6,7
Aug 14;2.894.000;644.000;6,7
Jul 14;2.898.000;660.000;6,7
Jun 14;2.918.000;644.000;6,7
Mai 14;2.918.000;639.000;6,7
Apr 14;2.899.000;654.000;6,7
Mrz 14;2.919.000;644.000;6,8
Feb 14;2.927.000;655.000;6,8
Jan 14;2.931.000;673.000;6,8
Dez 13;2.952.000;660.000;6,8
Nov 13;2.957.000;640.000;6,9
Okt 13;2.949.000;648.000;6,8
Sep 13;2.946.000;652.000;6,8
Aug 13;2.941.000;648.000;6,8
Jul 13;2.941.000;654.000;6,8
Jun 13;2.950.000;656.000;6,8
Mai 13;2.969.000;671.000;6,9
Apr 13;2.963.000;653.000;7
Mrz 13;2.951.000;663.000;6,9
Feb 13;2.935.000;636.000;6,9
Jan 13;2.927.000;652.000;6,9
